Label,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46,gpz
1,6.28087263,4.283519581,1.889366661,1.094790814,-105.99,-17.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.719301
1,6.911681904,5.546336816,2.05466496,1.45720503,-17.51,-17.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.719301
1,10.24058488,8.654873879,4.693195739,2.799208689,-11.98,10.6,-6.926541,11.346629,1896.7903,-0.71832174,-0.14467928,48.985653,1.1929648,-9999,-9999,-9999,-9999,-9999,-9999,40.894962
1,9.553265067,9.488964268,2.50922698,1.548309622,-0.92,10.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,43.255573
1,17.48739546,6.385493977,3.994332334,1.543460519,-155.76,10.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,43.255573
1,8.510392031,10.86844523,1.538173404,1.778602096,-6.45,16.13,-3.297831,18.220491,1896.7902,-0.6533196,0.09876727,49.90421,0.9976836,-9999,-9999,-9999,-9999,-9999,-9999,33.108013
1,10.45486397,11.38136293,4.740560974,3.005456802,10.14,10.6,5.9166427,10.951971,1896.8182,-0.512402,0.06316773,48.992973,2.2189646,-9999,-9999,-9999,-9999,-9999,-9999,73.06644
1,9.157786859,7.611337396,1.846991917,1.601058744,-11.98,16.13,-6.93338,19.928959,1896.7793,-1.1327311,0.26907977,49.102974,0.98917925,-9999,-9999,-9999,-9999,-9999,-9999,21.933718
1,19.21763294,10.84345148,3.219713358,2.530983216,4.61,10.6,6.811847,15.947702,1896.8131,-0.6846513,0.20438272,50.132812,0.9986336,-9999,-9999,-9999,-9999,-9999,-9999,33.324047
1,11.84413173,9.581738589,3.02182628,2.953461896,10.14,10.6,11.303355,11.054072,1896.8231,-0.29258862,0.051639393,50.1974,1.0704771,-9999,-9999,-9999,-9999,-9999,-9999,75.460724
1,8.637975586,7.13434105,1.862322435,1.476816504,-6.45,10.6,-2.9878778,13.172561,1896.7764,-1.2414008,0.109646566,46.348907,1.0252118,-9999,-9999,-9999,-9999,-9999,-9999,13.080862
1,9.841367728,9.659345216,1.63794808,1.590026058,10.14,10.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.40869
1,8.442226509,5.461016011,1.512858696,1.415664972,-56.22,10.6,-49.197605,16.187695,1896.6823,-3.0711298,0.24067417,40.88521,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.40869
1,10.06939288,9.907809496,2.009197655,1.804916728,-0.92,5.07,4.16872,6.7483587,1896.8125,-0.5467134,-0.08906986,49.562206,0.9898284,-9999,-9999,-9999,-9999,-9999,-9999,43.68712
1,9.781832048,9.571143343,1.751461349,2.14838012,4.61,5.07,7.548327,10.408791,1896.8192,-0.30756944,-0.004091283,51.944317,-9999,-9999,-9999,-9999,-9999,-9999,-9999,57.624992
1,10.09372288,6.757143083,3.092616914,2.612877135,-0.92,10.6,2.3896627,11.526036,1896.8192,-0.7893439,-0.2613491,44.817734,1.0691485,-9999,-9999,-9999,-9999,-9999,-9999,18.130749
1,13.32897127,9.140396566,3.361711652,1.754259516,-6.45,16.13,-1.8210984,18.685677,1896.8007,-0.259409,0.09784175,49.721054,1.1656696,-9999,-9999,-9999,-9999,-9999,-9999,60.407333
1,10.86273576,10.19048009,1.671884753,1.873992505,-11.98,5.07,-8.801558,6.7006373,1896.8011,-0.503956,-0.14053994,49.783432,1.0249956,-9999,-9999,-9999,-9999,-9999,-9999,41.814877
1,9.099490661,9.569931568,1.503769893,1.865270691,4.61,10.6,8.623393,12.113127,1896.8248,-0.47944516,0.14225824,49.517666,1.0307766,-9999,-9999,-9999,-9999,-9999,-9999,35.923664
1,9.931833718,10.86384651,1.994694525,2.055671927,-0.92,10.6,1.5659562,15.513559,1896.8157,-0.61002743,0.18857262,49.447453,1.030062,-9999,-9999,-9999,-9999,-9999,-9999,33.257458
1,9.287867833,7.987295468,2.676241126,1.966425675,-56.22,5.07,-49.95281,10.138176,1896.7324,-1.8377463,-0.06505749,35.290173,1.0419762,-9999,-9999,-9999,-9999,-9999,-9999,10.5056
1,9.987799758,9.563895441,1.647551453,1.548721727,10.14,5.07,13.233379,8.379583,1896.8304,-0.25206488,-0.04280816,52.346783,1.0154732,-9999,-9999,-9999,-9999,-9999,-9999,64.400085
1,11.09802005,11.70633916,1.969197866,1.68936434,4.61,10.6,10.012323,14.3266325,1896.8177,-0.37832,-0.06953658,49.94763,1.020502,-9999,-9999,-9999,-9999,-9999,-9999,52.725407
1,13.3861043,7.181318837,2.041516362,2.059680287,-0.92,-0.46,1.1282247,4.9229264,1896.805,-0.51082486,-0.14300784,49.29073,1.0182718,-9999,-9999,-9999,-9999,-9999,-9999,33.140015
1,8.779839534,7.774187528,1.960165708,2.595303287,10.14,-0.46,13.745679,5.3142304,1896.8314,-0.27236867,-0.13453476,52.51571,1.0733708,-9999,-9999,-9999,-9999,-9999,-9999,55.1794
1,9.296962728,8.694985943,2.374817254,2.124774189,-23.04,5.07,-16.396215,6.578226,1896.7749,-1.0512177,-0.2606287,48.805244,0.99633545,-9999,-9999,-9999,-9999,-9999,-9999,23.26231
1,10.8129566,10.60139268,1.765943554,2.327726243,-6.45,5.07,-1.5101646,10.414927,1896.8008,-0.25491917,0.10729677,50.279705,1.021439,-9999,-9999,-9999,-9999,-9999,-9999,67.04598
1,11.30273019,10.69093606,3.215390463,1.819237367,4.61,-0.46,6.761846,3.9815607,1896.8274,-0.4274722,0.006516774,50.164726,1.2945751,-9999,-9999,-9999,-9999,-9999,-9999,67.13396
1,9.544480249,8.408914113,2.038179295,1.54238261,-0.92,-0.46,1.73949,2.503759,1859.8718,-0.4388807,-0.185244,49.127686,1.0357738,-9999,-9999,-9999,-9999,-9999,-9999,27.832945
1,11.68796627,7.987295468,2.149153105,2.125311033,-23.04,-0.46,-18.012125,0.64699584,1859.9095,-1.1280539,-0.021462211,49.033768,1.0178438,-9999,-9999,-9999,-9999,-9999,-9999,21.181602
1,12.39289008,10.84292526,5.641058451,1.807234234,-6.45,5.07,-1.2222537,9.085088,1896.8033,-0.54627347,-0.11400155,49.116238,1.5313594,-9999,-9999,-9999,-9999,-9999,-9999,46.043648
1,4.738971243,4.789120483,2.896624269,1.638616808,-94.93,5.07,-85.989334,9.548717,1896.5953,-0.3371492,-0.003909266,2.922986,-9999,-9999,-9999,-9999,-9999,-9999,-9999,46.043648
1,9.382916966,10.08411765,1.970170368,1.614171666,-6.45,-0.46,-0.59738344,3.2310987,1859.8728,-0.32864362,-0.06039779,49.96745,1.0078502,-9999,-9999,-9999,-9999,-9999,-9999,52.54398
1,13.08261259,17.47972947,1.829469548,2.629711279,-0.92,5.07,2.1596959,9.596946,1896.819,-0.5802645,-0.075642064,50.33106,0.9562624,-9999,-9999,-9999,-9999,-9999,-9999,42.78598
1,8.043357066,8.53525041,2.115994161,2.233251028,-45.16,-0.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.1389074
1,2.765,0,1.204755268,2.15E-08,4.61,-0.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.1389074
1,10.85035594,10.976168,2.130644437,1.623304163,-0.92,16.13,1.2284895,18.517925,1896.8018,-0.51104736,0.14999886,52.14799,1.0218266,-9999,-9999,-9999,-9999,-9999,-9999,47.09817
1,10.0527459,13.3379484,2.257063099,2.660673838,10.14,-5.99,15.925832,-0.17149228,1859.8402,-0.3118616,-0.15090598,49.820595,1.0404161,-9999,-9999,-9999,-9999,-9999,-9999,48.83066
1,10.66906301,10.26324564,1.774407473,1.766596911,4.61,10.6,7.4592805,15.015256,1896.8218,-0.5162135,-0.13267294,49.399048,1.0209423,-9999,-9999,-9999,-9999,-9999,-9999,37.05676
