Label,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46,gpz
1,2.765,0,0.759869419,2.52E-09,-6.45,-0.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,46.373394
1,0,0,0,0,4.61,5.07,7.814219,7.3524504,1896.8289,-0.45832732,0.027412102,49.525528,0.011990151,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,38.45707
1,0,0,8.88E-16,0,-6.45,-0.46,-1.8895742,3.0990014,1896.8119,-0.43218654,-0.041864406,50.13119,0.008760332,9.466787338,11.22808456,10.4058876,10.17159271,-9999,-10.16533279,50.904507
1,0,0,0,0,-11.98,-0.46,-5.121831,2.5073223,1859.8807,-0.75086987,-0.013618413,49.4826,0.014594166,9.466787338,11.22808456,-9999,10.17159271,-9999,-10.16533279,30.809706
1,2.765,0,0.661116908,1.02E-07,-6.45,-5.99,-0.8284221,-3.4161296,1859.8684,-0.38360465,-0.16109757,41.867435,0.017326629,-13.69321251,-11.93191528,-12.75411224,-12.98840714,-9.438768387,-9999,26.550974
1,0,2.765,3.07E-07,0.803696915,10.14,-0.46,15.653951,0.7723806,1859.8362,-0.21484147,-0.10049174,49.992477,0.007984659,9.466787338,-9999,10.4058876,-9999,9.891231537,-9999,58.88602
1,2.765,0,1.806669565,1.14E-07,-6.45,5.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.730156
1,0,0,0,0,-11.98,10.6,-5.4838586,12.931083,1896.7994,-0.42660078,-0.11624645,49.7413,0.009444855,9.466787338,11.22808456,10.4058876,10.17159271,-9999,-10.16533279,44.78996
1,0,0,0,0,10.14,-0.46,14.718421,1.9125859,1859.8303,-0.2592269,-0.06759428,49.84611,0.009388452,9.466787338,-9999,10.4058876,-9999,29.22123146,9.16466713,48.334164
1,2.765,0,2.416769827,7.89E-08,4.61,5.07,6.211057,10.816349,1896.8241,-0.7170098,0.04018489,47.996147,0.025352743,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,19.0318
1,0,0,0,0,-17.51,-5.99,-12.586454,-2.3662758,1859.8981,-0.90809226,-0.18233718,49.132305,0.020980103,-9999,-11.93191528,-9999,-12.98840714,-9.438768387,-145.4753265,19.94519
1,0,0,0,0,-23.04,16.13,-20.408567,18.243616,1896.7883,-1.2135103,0.22891758,48.24572,0.022387035,-9999,11.22808456,-9999,10.17159271,-9999,-29.49533272,21.007292
1,2.765,0,0.823529412,2.33E-08,-6.45,-0.46,-1.9173979,2.9661658,1859.8826,-0.34554923,-0.12601744,49.746613,0.014514548,9.466787338,11.22808456,10.4058876,10.17159271,-9999,-10.16533279,39.10747
1,0,0,0,0,-11.98,10.6,-8.577402,12.838688,1896.7863,-0.76606196,0.08776617,48.665894,0.018321918,-9999,11.22808456,-9999,10.17159271,-9999,-10.16533279,22.749907
1,0,0,0,0,-6.45,-5.99,-1.8233826,-0.73408574,1859.8749,-0.20753603,-0.029590793,50.52238,0.005976972,9.466787338,-11.93191528,10.4058876,10.17159271,-9999,-10.16533279,78.79563
1,2.765,0,0.614005562,3.44E-08,10.14,10.6,11.281759,14.022484,1896.8251,-0.23307446,-0.006516459,50.607613,0.005247031,9.466787338,-9999,10.4058876,-9999,-9999,9.16466713,79.849945
1,0,0,0,0,4.61,-0.46,10.120328,3.1616507,1859.8507,-0.36694437,-0.116070434,50.552982,0.006600524,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,67.425354
1,2.765,0,1.306537316,1.36E-07,4.61,5.07,6.1297674,6.913217,1896.8168,-0.3206041,0.03723407,50.475254,0.007180724,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,76.39039
1,2.765,0,0.672600193,9.51E-09,4.61,-0.46,9.948109,1.0573269,1859.8541,-0.31062958,-0.003232298,50.321915,0.008837177,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,60.4168
1,2.709135656,4.13827307,1.627297833,0.767388855,-11.98,10.6,-5.8272567,13.759237,1896.795,-0.3892089,0.04208513,49.902676,0.021692907,9.466787338,11.22808456,10.4058876,10.17159271,-9999,-10.16533279,47.92802
1,2.765,0,1.212491468,1.65E-07,-0.92,5.07,4.047233,6.2902637,1896.8114,-0.6247783,0.13231574,49.498142,0.014246736,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,36.2229
1,0,0,0,0,-6.45,-0.46,-3.4946353,5.3156323,1896.8076,-0.50222087,-0.06444223,49.85443,0.011376663,9.466787338,11.22808456,10.4058876,10.17159271,-9999,-10.16533279,37.40558
1,2.765,0,2.672917097,6.48E-07,-6.45,21.66,-5.160953,22.413296,1896.7955,-0.50534683,0.1634093,49.645897,0.015039554,32.62678909,34.38808441,33.56588745,33.33159256,-9999,-10.16533279,33.121487
1,2.606867,2.606867,2.759173569,0.538968547,-6.45,5.07,-5.2848635,9.898834,1896.795,-0.4948193,-0.1448567,49.4506,0.030270334,9.466787338,11.22808456,-9999,10.17159271,-9999,-10.16533279,33.010143
1,0,0,8.88E-16,0,4.61,10.6,10.037357,15.28119,1896.817,-0.28202873,0.07655288,50.20701,0.007327527,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,61.101063
1,0,0,0,0,-28.57,16.13,-25.622166,18.558485,1896.7517,-1.3571956,0.20068158,48.178123,0.028198546,-9999,11.22808456,-9999,10.17159271,-9999,-29.49533272,16.790821
1,0,2.765,1.19E-07,0.712504426,4.61,10.6,8.738991,15.491372,1896.817,-0.42960542,-0.008019663,49.962193,0.009503441,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,49.10928
1,0,0,0,0,-0.92,-0.46,3.1451921,3.394365,1896.8152,-0.22182417,0.011436257,50.184536,0.007023915,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,62.174072
1,0,0,0,0,4.61,16.13,9.721616,20.31598,1896.8152,-0.21297754,0.08318411,49.908756,0.007767578,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,63.368134
1,0,2.765,3.14E-08,2.719724027,-0.92,5.07,2.983394,11.0842285,1896.8079,-0.35259235,-0.013959557,49.803886,0.009173868,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,47.821716
1,0,0,0,0,-17.51,-5.99,-11.027385,-3.7820222,1859.8909,-1.0401441,-0.26080856,48.175014,0.02329835,-9999,-11.93191528,-9999,-12.98840714,-28.76876831,-9999,20.187689
1,0,0,0,0,-0.92,10.6,3.3038487,16.332249,1896.8093,-0.24637382,0.10321897,50.149483,0.008783322,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,53.779453
1,0,0,0,0,-6.45,21.66,-1.6526961,24.592972,1896.7852,-0.93994623,0.48183855,43.9521,0.034693263,32.62678909,34.38808441,103.0458908,33.33159256,-9999,-10.16533279,12.84148
1,0,0,0,0,10.14,10.6,12.605795,14.21218,1896.8251,-0.36452392,0.0299545,50.311935,0.009182061,9.466787338,-9999,10.4058876,-9999,-9999,9.16466713,59.40572
1,0,0,0,0,-34.1,5.07,-29.607414,10.27336,1896.7537,-1.9772772,-0.17289641,45.49615,0.056296635,-9999,11.22808456,-9999,10.17159271,-9999,-48.82533264,8.418758
1,0,0,0,0,4.61,-0.46,7.5569844,4.3114834,1896.8198,-0.43656078,0.03743035,50.20777,0.008043975,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,57.27734
1,2.606867,5.213734,2.222248413,1.28327782,-67.28,21.66,-62.992188,24.479908,1896.698,-3.479477,0.6759854,42.401733,0.09264925,-9999,34.38808441,-9999,33.33159256,-9999,-87.4853363,5.5176387
1,2.765,0,2.600311132,0,-11.98,10.6,-5.1578646,14.641818,1896.8011,-0.6519495,-0.045658913,49.589222,0.012301125,9.466787338,11.22808456,-9999,10.17159271,-9999,-10.16533279,36.309258
1,2.765,0,2.063285022,2.71E-07,-56.22,16.13,-51.80007,19.530937,1896.7245,-3.3167393,0.5164766,42.615864,0.07713615,-9999,11.22808456,-9999,10.17159271,-9999,-68.15533447,5.827726
1,4.515226093,0,1.017803012,4.84E-07,-6.45,16.13,-3.5550086,19.10841,1896.7899,-0.3392969,-0.024414001,49.866222,0.013708203,9.466787338,11.22808456,10.4058876,10.17159271,-9999,-10.16533279,38.175514
1,2.606867,2.606867,0.899492636,0.71904328,10.14,10.6,11.513428,11.417254,1896.8229,-0.3949979,0.018113209,50.234146,0.00731084,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,69.95039
1,0,0,0,0,10.14,10.6,12.01657,15.925755,1896.8298,-0.44047365,0.03573154,49.576576,0.011700005,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,39.070877
1,0,0,0,0,-0.92,21.66,3.2464383,22.075632,1896.8154,-0.611326,0.3008635,48.070477,0.019981364,32.62678909,34.38808441,33.56588745,33.33159256,-9999,-10.16533279,21.011726
1,2.765,0,0.974680753,1.48E-08,10.14,-0.46,11.742973,2.943727,1859.8434,-0.24529892,-0.14211886,50.073433,0.009690519,9.466787338,-9999,10.4058876,-9999,9.891231537,9.16466713,53.70081
1,2.765,0,2.599084405,6.49E-07,-17.51,21.66,-10.2921295,25.080227,1896.7521,-1.4392226,0.5549113,48.964653,0.03999507,32.62678909,34.38808441,33.56588745,33.33159256,29.22123146,-10.16533279,12.398789
1,2.606867,6.897121783,0.676338457,1.606641259,10.14,5.07,14.165664,8.759603,1896.8354,-0.36178562,-0.13152169,49.88001,0.01173495,9.466787338,-9999,10.4058876,-9999,-9999,9.16466713,46.34533
1,0,0,0,0,-6.45,10.6,-0.20458625,14.6678505,1896.8,-0.3676532,-0.07078207,49.744133,0.0090209,9.466787338,11.22808456,10.4058876,10.17159271,-9999,-10.16533279,47.486794
1,0,0,0,0,-0.92,16.13,4.3832417,18.8527,1896.8116,-0.30060157,0.07089219,50.10442,0.00676284,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,62.6752
1,0,0,0,0,4.61,10.6,7.4763556,14.252972,1896.8257,-0.54539007,0.14163844,49.782352,0.010784993,9.466787338,11.22808456,10.4058876,10.17159271,-9999,9.16466713,48.23552
1,0,0,0,0,-6.45,-0.46,-2.9722157,3.896523,1896.8022,-0.40222058,-0.04199482,52.040916,0.007211717,9.466787338,11.22808456,10.4058876,10.17159271,-9999,-10.16533279,61.82102
1,2.765,0,2.687489702,2.09E-07,-0.92,-5.99,0.4646829,-0.5462837,1859.8705,-0.312191,-0.092418134,49.896713,0.006970438,9.466787338,11.22808456,10.4058876,10.17159271,-9.438768387,-9999,62.106426
1,0,0,0,0,-6.45,21.66,-3.5319393,22.077875,1896.8007,-1.130847,0.19431624,48.389477,0.02284003,32.62678909,34.38808441,33.56588745,33.33159256,-9999,-10.16533279,19.453226
