Label,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46,gpz
0,9.102157711,9.502603262,4.989186507,4.246186307,-11.98,-0.46,-8.060134,3.2502916,1859.909,-1.094315,-0.17689085,48.924362,0.5080827,-9999,-9999,-9999,-9999,-9999,-9999,22.808613
0,14.51442118,5.213734,7.009732836,2.332373528,4.61,-0.46,10.487788,4.5810304,1896.8287,-0.20855221,-0.11160166,51.117336,0.011906588,9.466787338,11.22808456,10.4058876,10.17159271,9.891231537,-10.16533279,71.38631
0,8.171674376,7.820601,2.672245491,1.451817746,10.14,21.66,13.1059475,25.037395,1896.818,-0.06504864,0.7377583,50.234413,-9999,-9999,-9999,-9999,-9999,-9999,-9999,48.576927
0,5.354399476,5.824576031,1.768802602,4.26711607,4.61,-0.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.968475
0,14.94544659,13.25082837,4.972916255,3.291420195,10.14,10.6,11.448308,11.9182205,1896.824,-0.17033698,0.010270352,50.34087,0.64124835,-9999,-9999,-105.3941116,-9999,-9999,-9999,75.33152
0,0,0,0,0,26.73,65.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,75.33152
0,0,0,0,0,4.61,10.6,7.8486333,11.853448,1896.8185,-0.26211202,0.017460216,50.416523,0.00676587,9.466787338,-58.25191498,-105.3941116,-105.6284103,9.891231537,-9999,73.73505
0,0,0,1.11E-16,0,-0.92,16.13,4.35536,19.64275,1896.8119,-0.45461422,0.024903813,49.60955,0.009301028,-175.8132172,-174.0519104,-9999,-9999,-9999,-9999,45.417534
0,0,0,0,0,-0.92,5.07,2.8264663,10.418033,1896.8083,-0.32053366,0.0675275,50.352985,0.007615986,32.62678909,34.38808441,56.7258873,56.49159241,48.55123138,9.16466713,58.640583
0,0,7.820601,1.11E-06,7.4676579,-23.04,10.6,-17.594116,15.771681,1896.7837,-1.8567349,0.17971702,42.744762,0.14348784,-9999,-9999,-9999,-9999,-9999,-9999,6.6087565
0,6.713709026,8.637975586,1.480129021,1.915326509,21.2,-28.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.87588
0,8.313412897,12.90991499,4.042098468,5.767357792,-34.1,16.13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.87588
0,9.144377969,7.766101374,5.400064016,3.705141356,10.14,10.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.87588
0,26.33201663,10.98213663,4.563621633,2.145461232,-50.69,-28.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.87588
0,0,0,0,0,181.57,93.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.87588
0,2.765,0,2.733390489,1.93E-06,176.04,60.37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.87588
0,4.585233773,2.765,2.815342384,1.463635341,170.51,-77.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.87588
0,11.59982586,6.636,8.362276151,5.427139167,54.38,-83.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.87588
0,9.746891242,8.781288187,1.871934905,1.839568335,4.61,10.6,7.234186,14.180955,1896.8188,-0.2607743,0.0791404,50.029385,0.4906399,-9999,-9999,-9999,-9999,-9999,-9999,56.15536
0,13.01599256,11.67419179,6.444680834,6.068265142,4.61,16.13,9.549434,18.458654,1896.8168,-0.4548418,0.25496817,49.046448,0.388492,-9999,-9999,-9999,-9999,-9999,-9999,29.516628
0,0,0,0,0,-11.98,16.13,-7.14018,20.010647,1896.7747,-1.0251895,0.33799863,47.467945,0.022395622,32.62678909,34.38808441,56.7258873,56.49159241,-9.438768387,9.16466713,19.425407
0,10.84462472,10.52397105,5.956216915,3.806828965,-11.98,5.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56.516785
0,6.707218389,8.96491149,3.352403148,4.662104157,32.26,21.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56.516785
